farmer_id,name,region,farms,phone,joined_at
FAR-001,Farmer 1,Machakos,3,+254710000037,2024-01-06
FAR-002,Farmer 2,Nakuru,4,+254710000074,2024-01-11
FAR-003,Farmer 3,Nairobi,2,+254710000111,2024-01-16
FAR-004,Farmer 4,Embu,3,+254710000148,2024-01-21
FAR-005,Farmer 5,Kiambu,4,+254710000185,2024-01-26
FAR-006,Farmer 6,Machakos,2,+254710000222,2024-01-31
FAR-007,Farmer 7,Nakuru,3,+254710000259,2024-02-05
FAR-008,Farmer 8,Nairobi,4,+254710000296,2024-02-10
FAR-009,Farmer 9,Embu,2,+254710000333,2024-02-15
FAR-010,Farmer 10,Kiambu,3,+254710000370,2024-02-20
FAR-011,Farmer 11,Machakos,4,+254710000407,2024-02-25
FAR-012,Farmer 12,Nakuru,2,+254710000444,2024-03-01
FAR-013,Farmer 13,Nairobi,3,+254710000481,2024-03-06
FAR-014,Farmer 14,Embu,4,+254710000518,2024-03-11
FAR-015,Farmer 15,Kiambu,2,+254710000555,2024-03-16
FAR-016,Farmer 16,Machakos,3,+254710000592,2024-03-21
FAR-017,Farmer 17,Nakuru,4,+254710000629,2024-03-26
FAR-018,Farmer 18,Nairobi,2,+254710000666,2024-03-31
FAR-019,Farmer 19,Embu,3,+254710000703,2024-04-05
FAR-020,Farmer 20,Kiambu,4,+254710000740,2024-04-10
FAR-021,Farmer 21,Machakos,2,+254710000777,2024-04-15
FAR-022,Farmer 22,Nakuru,3,+254710000814,2024-04-20
FAR-023,Farmer 23,Nairobi,4,+254710000851,2024-04-25
FAR-024,Farmer 24,Embu,2,+254710000888,2024-04-30
FAR-025,Farmer 25,Kiambu,3,+254710000925,2024-05-05
FAR-026,Farmer 26,Machakos,4,+254710000962,2024-05-10
FAR-027,Farmer 27,Nakuru,2,+254710000999,2024-05-15
FAR-028,Farmer 28,Nairobi,3,+254710001036,2024-05-20
FAR-029,Farmer 29,Embu,4,+254710001073,2024-05-25
FAR-030,Farmer 30,Kiambu,2,+254710001110,2024-05-30
FAR-031,Farmer 31,Machakos,3,+254710001147,2024-06-04
FAR-032,Farmer 32,Nakuru,4,+254710001184,2024-06-09
FAR-033,Farmer 33,Nairobi,2,+254710001221,2024-06-14
FAR-034,Farmer 34,Embu,3,+254710001258,2024-06-19
FAR-035,Farmer 35,Kiambu,4,+254710001295,2024-06-24
FAR-036,Farmer 36,Machakos,2,+254710001332,2024-06-29
FAR-037,Farmer 37,Nakuru,3,+254710001369,2024-07-04
FAR-038,Farmer 38,Nairobi,4,+254710001406,2024-07-09
FAR-039,Farmer 39,Embu,2,+254710001443,2024-07-14
FAR-040,Farmer 40,Kiambu,3,+254710001480,2024-07-19
FAR-041,Farmer 41,Machakos,4,+254710001517,2024-07-24
FAR-042,Farmer 42,Nakuru,2,+254710001554,2024-07-29
